example_id,brand,customer_message,expected_intent,expected_action,expected_response_guidance,difficulty,annotator_notes
GOLDEN_016,SpotifyCares,I need a formal tax invoice / VAT receipt for my business expense report for the past 12 months.,Subscription & Billing,AUTO_HANDLE,Direct user to Receipts tab in account overview where monthly VAT receipts can be downloaded.,easy,Standard receipt download request.
GOLDEN_017,SpotifyCares,I forgot the password to my account and the reset link is not arriving in my inbox or spam folder.,Account Access & Login,AUTO_HANDLE,"Advise checking if account was created via Facebook/Apple ID, or verify spelling of email address.",medium,Password reset link delivery failure.
GOLDEN_018,SpotifyCares,Someone in Russia logged into my account and changed the email address. I am locked out completely!!,Account Access & Login,ESCALATE,Critical account takeover / security breach; immediately escalate to specialized account recovery.,hard,Compromised account requiring emergency security triage.
GOLDEN_019,SpotifyCares,Can I change my username from random numbers to my actual name?,Account Access & Login,AUTO_HANDLE,"Explain that numerical usernames cannot be changed, but Display Name can be customized in profile settings.",easy,Standard username vs display name policy explanation.
GOLDEN_020,SpotifyCares,It keeps saying 'Incorrect username or password' even though I just reset it 5 minutes ago.,Account Access & Login,AUTO_HANDLE,Suggest checking for trailing whitespace or clearing browser autofill cookies.,medium,Post-reset authentication failure.
GOLDEN_021,SpotifyCares,How do I unlink my Spotify account from my old Facebook that got deleted?,Account Access & Login,ESCALATE,Complex identity unlinking involving deleted 3rd party OAuth provider.,hard,OAuth migration requiring customer care agent intervention.
GOLDEN_022,SpotifyCares,Does Spotify support Two-Factor Authentication (2FA) yet?,Account Access & Login,AUTO_HANDLE,Provide accurate security feature status and recommend strong unique password.,easy,Feature inquiry regarding security capabilities.
GOLDEN_023,SpotifyCares,All my playlists disappeared overnight! 5 years of curated music just gone. Please tell me you can restore them!,Playlist & Library Management,AUTO_HANDLE,Reassure customer and guide them to 'Recover Playlists' option in account web page.,easy,High distress but standard self-serve recovery feature.
GOLDEN_024,SpotifyCares,How do I share a collaborative playlist with my friend so we can both add tracks?,Playlist & Library Management,AUTO_HANDLE,Explain right-click > 'Collaborative Playlist' or tap three dots and enable Collaboration.,easy,Standard feature usage guidance.
GOLDEN_025,SpotifyCares,"I accidentally deleted a playlist 10 minutes ago, is there any recycle bin?",Playlist & Library Management,AUTO_HANDLE,Direct user to spotify.com/account and click Recover Playlists on the left menu.,easy,Common self-serve recovery query.
GOLDEN_026,SpotifyCares,Is there a limit on how many songs I can like in 'Your Library'?,Playlist & Library Management,AUTO_HANDLE,Explain library limits and save features.,easy,Policy/limit informational question.
GOLDEN_027,SpotifyCares,My playlist cover image won't update no matter what JPEG or PNG I upload.,Playlist & Library Management,AUTO_HANDLE,Check image dimensions/file size limits (under 4MB) and advise uploading via desktop app.,medium,Desktop upload limitation troubleshooting.
GOLDEN_028,SpotifyCares,Downloaded songs won't play offline on airplane mode. It says I must connect to the internet.,Offline Listening & Downloads,AUTO_HANDLE,Remind customer that device must connect online at least once every 30 days to verify license.,medium,DRM 30-day offline licensing policy.
GOLDEN_029,SpotifyCares,Where does Spotify store offline downloaded music files on an Android SD card?,Offline Listening & Downloads,AUTO_HANDLE,Guide customer to Settings > Storage > select SD Card.,easy,Storage location settings query.
GOLDEN_030,SpotifyCares,My downloads keep getting deleted automatically every time my phone battery gets low.,Offline Listening & Downloads,AUTO_HANDLE,Explain third-party battery saver / storage cleaner apps clearing app cache.,medium,OS-level storage cleaner conflict.
GOLDEN_031,SpotifyCares,What is the maximum number of devices I can download offline tracks on?,Offline Listening & Downloads,AUTO_HANDLE,"Inform customer of the 5-device limit and up to 10,000 tracks per device.",easy,Standard technical specification inquiry.
GOLDEN_032,SpotifyCares,Spotify Connect doesn't detect my Sonos speakers anymore after updating my router.,Device & Connectivity Integration,AUTO_HANDLE,Advise checking that both phone and Sonos are on the same Wi-Fi band (2.4GHz vs 5GHz) and rebooting router.,medium,Local network multicast / mDNS discovery issue.
GOLDEN_033,SpotifyCares,Apple Watch Spotify app says 'Connect to Bluetooth' even though my AirPods are already connected to watch.,Device & Connectivity Integration,AUTO_HANDLE,Suggest force quitting Spotify on watch and toggling watch Bluetooth off and on.,medium,Wearable Bluetooth handoff glitch.
GOLDEN_034,SpotifyCares,CarPlay crashes every time I tap on any playlist while driving.,Device & Connectivity Integration,AUTO_HANDLE,"Advise reinstalling app, updating iOS, and toggling CarPlay permissions.",medium,Automotive head unit software compatibility.
GOLDEN_035,SpotifyCares,Amazon Echo says 'Spotify is not linked' but the Alexa app shows it is linked.,Device & Connectivity Integration,AUTO_HANDLE,Recommend unlinking and re-linking the Spotify skill inside Amazon Alexa app settings.,easy,Smart speaker OAuth token refresh.
GOLDEN_036,SpotifyCares,My smart TV Spotify app shows a blank black screen after launching.,Device & Connectivity Integration,AUTO_HANDLE,Recommend power-cycling TV (unplug for 60s) and reinstalling the TV app.,easy,Smart TV firmware caching issue.
GOLDEN_037,SpotifyCares,Why was Taylor Swift's 1989 album removed from Spotify in my country?,Catalog & Content Inquiries,AUTO_HANDLE,Explain licensing agreements vary by region and artist management discretion.,easy,Music licensing policy explanation.
GOLDEN_038,SpotifyCares,An explicit song is playing even though I turned on the Explicit Content filter for my child's profile.,Catalog & Content Inquiries,ESCALATE,Child safety / explicit filtering failure; requires internal QA logging and account inspection.,hard,Parental control filtering failure with minor safety implications.
GOLDEN_039,SpotifyCares,How do I submit my independent band's new single to Spotify for Artists?,Catalog & Content Inquiries,AUTO_HANDLE,"Direct artist to official preferred distributors (DistroKid, CD Baby) and artists.spotify.com.",easy,Artist distribution inquiry.
GOLDEN_040,SpotifyCares,The lyrics for this song are completely wrong and belong to a different artist.,Catalog & Content Inquiries,AUTO_HANDLE,Explain Musixmatch partnership and provide link to report lyrics error.,easy,Third-party metadata error report.
GOLDEN_041,SpotifyCares,My brother can't join my Family Plan. It keeps saying 'You must live at the same address'. We live in the same house!,Family & Duo Administration,AUTO_HANDLE,Advise entering the exact street address including capitalization and postal code as owner's profile.,medium,Address verification exact string match failure.
GOLDEN_042,SpotifyCares,Can I invite someone from another country to my Family Plan?,Family & Duo Administration,AUTO_HANDLE,Clarify terms of service: all family members must reside at the same physical address in the same country.,easy,Terms of service geographical restriction.
GOLDEN_043,SpotifyCares,I am the plan manager. How do I remove a former roommate from my Premium Duo subscription?,Family & Duo Administration,AUTO_HANDLE,Direct manager to Duo page on spotify.com/account > Manage members > Remove.,easy,Routine plan membership management.
GOLDEN_044,SpotifyCares,help,General Inquiries & Feedback,ESCALATE,Single-word vague message with zero actionable context; ask user to describe their issue.,hard,Extreme brevity failure mode.
GOLDEN_045,SpotifyCares,Your company is run by clowns and your latest UI update is the ugliest thing I have ever seen.,General Inquiries & Feedback,AUTO_HANDLE,Acknowledge customer feedback politely and note that design feedback is shared with the product team.,medium,Pure venting / UI criticism without specific technical failure.
GOLDEN_046,SpotifyCares,Is Spotify down today? Nothing is loading anywhere.,General Inquiries & Feedback,AUTO_HANDLE,Refer customer to @SpotifyStatus Twitter handle for real-time service health updates.,easy,Outage status inquiry.
GOLDEN_047,SpotifyCares,hey @SpotifyCares check your dm sent you something important,General Inquiries & Feedback,ESCALATE,Directs agent to private DM; requires human support agent to open DM queue.,hard,External channel redirection without public context.
GOLDEN_048,SpotifyCares,I have an idea for a feature where friends can vote on songs in real time at a party.,General Inquiries & Feedback,AUTO_HANDLE,Direct user to Spotify Community 'Idea Exchange' forum to submit and vote on feature requests.,easy,Feature suggestion routing.
GOLDEN_049,SpotifyCares,Sound keeps pausing when screen turns off on Samsung S9,Audio & Playback Issues,AUTO_HANDLE,Check battery optimization for Spotify under Android settings.,easy,Systematic benchmark sample representing Audio & Playback Issues with easy complexity.
GOLDEN_050,SpotifyCares,Audio quality sounds robotic and muffled on high quality streaming,Audio & Playback Issues,AUTO_HANDLE,Suggest toggling streaming quality from Automatic to Very High and checking bandwidth.,easy,Systematic benchmark sample representing Audio & Playback Issues with easy complexity.
GOLDEN_051,SpotifyCares,Podcast audio plays at 2x speed automatically and slider won't change,Audio & Playback Issues,AUTO_HANDLE,Advise resetting app cache or toggling playback speed icon in player.,medium,Systematic benchmark sample representing Audio & Playback Issues with medium complexity.
GOLDEN_052,SpotifyCares,Crossfade setting does not work between songs in my playlist,Audio & Playback Issues,AUTO_HANDLE,Verify crossfade seconds in settings and ensure Automix is enabled.,easy,Systematic benchmark sample representing Audio & Playback Issues with easy complexity.
GOLDEN_053,SpotifyCares,Songs stop playing after 10 seconds every time on 4G LTE,Audio & Playback Issues,AUTO_HANDLE,Check cellular data streaming permissions in Spotify settings.,easy,Systematic benchmark sample representing Audio & Playback Issues with easy complexity.
GOLDEN_054,SpotifyCares,Equalizer is missing from settings on my Android tablet,Audio & Playback Issues,AUTO_HANDLE,Clarify that Spotify uses the device manufacturer's built-in system equalizer.,medium,Systematic benchmark sample representing Audio & Playback Issues with medium complexity.
GOLDEN_055,SpotifyCares,The sound cuts out every time I receive a WhatsApp notification,Audio & Playback Issues,AUTO_HANDLE,Explain audio ducking behavior and suggest setting phone to silent mode.,easy,Systematic benchmark sample representing Audio & Playback Issues with easy complexity.
GOLDEN_056,SpotifyCares,App crashes immediately whenever I tap the green play button on any album,Audio & Playback Issues,AUTO_HANDLE,Advise reinstalling app and clearing application storage.,medium,Systematic benchmark sample representing Audio & Playback Issues with medium complexity.
GOLDEN_057,SpotifyCares,Can't hear anything but progress bar is moving forward,Audio & Playback Issues,AUTO_HANDLE,Check audio output source (Bluetooth vs Speaker) in device settings.,easy,Systematic benchmark sample representing Audio & Playback Issues with easy complexity.
GOLDEN_058,SpotifyCares,High pitch ringing sound during quiet parts of songs on desktop,Audio & Playback Issues,ESCALATE,Unusual hardware audio distortion requiring audio engineer review.,hard,Systematic benchmark sample representing Audio & Playback Issues with hard complexity.
GOLDEN_059,SpotifyCares,Why did you charge my PayPal when I selected credit card payment?,Subscription & Billing,ESCALATE,Billing gateway routing discrepancy; requires billing inspection.,medium,Systematic benchmark sample representing Subscription & Billing with medium complexity.
GOLDEN_060,SpotifyCares,I was charged for Premium even though I cancelled during the 30-day free trial,Subscription & Billing,ESCALATE,Unauthorized post-trial charge claim; escalate to billing agent.,hard,Systematic benchmark sample representing Subscription & Billing with hard complexity.
GOLDEN_061,SpotifyCares,How do I switch from monthly Premium to the annual prepaid gift card?,Subscription & Billing,AUTO_HANDLE,Explain how to redeem gift cards at spotify.com/redeem.,easy,Systematic benchmark sample representing Subscription & Billing with easy complexity.
GOLDEN_062,SpotifyCares,I bought a Spotify gift card at Target but the cashier didn't activate the PIN,Subscription & Billing,ESCALATE,Retail gift card activation failure requiring receipt verification.,hard,Systematic benchmark sample representing Subscription & Billing with hard complexity.
GOLDEN_063,SpotifyCares,"My college graduated last month, will my student discount cancel immediately?",Subscription & Billing,AUTO_HANDLE,Explain SheerID re-verification schedule and grace period.,easy,Systematic benchmark sample representing Subscription & Billing with easy complexity.
GOLDEN_064,SpotifyCares,How do I update the billing address associated with my credit card?,Subscription & Billing,AUTO_HANDLE,Direct user to edit payment details under account page.,easy,Systematic benchmark sample representing Subscription & Billing with easy complexity.
GOLDEN_065,SpotifyCares,My payment failed 3 times and now my account says Payment Overdue,Subscription & Billing,AUTO_HANDLE,Advise updating card details or using PayPal to re-trigger billing cycle.,medium,Systematic benchmark sample representing Subscription & Billing with medium complexity.
GOLDEN_066,SpotifyCares,I want a refund for the 6 months I didn't use Spotify at all,Subscription & Billing,ESCALATE,Dormant account refund demand against terms of service; escalate to supervisor.,hard,Systematic benchmark sample representing Subscription & Billing with hard complexity.
GOLDEN_067,SpotifyCares,Can I split payment between two different debit cards?,Subscription & Billing,AUTO_HANDLE,Clarify that split payments are not supported on single accounts.,easy,Systematic benchmark sample representing Subscription & Billing with easy complexity.
GOLDEN_068,SpotifyCares,"Charge on my statement says SPOTIFY USA 877-778-1549, is this legitimate?",Subscription & Billing,AUTO_HANDLE,Confirm official Spotify billing descriptor.,easy,Systematic benchmark sample representing Subscription & Billing with easy complexity.
GOLDEN_069,SpotifyCares,My account was unlinked from Facebook and now all my friends are gone,Account Access & Login,AUTO_HANDLE,Explain how to reconnect Facebook in Social Settings.,easy,Systematic benchmark sample representing Account Access & Login with easy complexity.
GOLDEN_070,SpotifyCares,I don't have access to the email address I used to register 8 years ago,Account Access & Login,ESCALATE,Lost email access; requires manual security verification to update email.,hard,Systematic benchmark sample representing Account Access & Login with hard complexity.
GOLDEN_071,SpotifyCares,How do I delete my Spotify account and all personal data permanently?,Account Access & Login,AUTO_HANDLE,Guide user to Support > Account Settings > Close Account under GDPR options.,easy,Systematic benchmark sample representing Account Access & Login with easy complexity.
GOLDEN_072,SpotifyCares,It says 'Account already exists' when I try to sign up with my Gmail,Account Access & Login,AUTO_HANDLE,Advise using Password Reset on that Gmail to recover existing account.,easy,Systematic benchmark sample representing Account Access & Login with easy complexity.
GOLDEN_073,SpotifyCares,Can I merge two Spotify accounts into one without losing songs?,Account Access & Login,ESCALATE,Account merging is not automated; requires support assistance to transfer playlists.,hard,Systematic benchmark sample representing Account Access & Login with hard complexity.
GOLDEN_074,SpotifyCares,Suspicious playlist was added to my library that I never created,Account Access & Login,ESCALATE,Possible account breach; advise changing password and logging out everywhere.,medium,Systematic benchmark sample representing Account Access & Login with medium complexity.
GOLDEN_075,SpotifyCares,What does 'You've been logged out because someone else is listening' mean?,Account Access & Login,AUTO_HANDLE,Explain single-stream limit per account and advise password reset if unauthorized.,medium,Systematic benchmark sample representing Account Access & Login with medium complexity.
GOLDEN_076,SpotifyCares,Can I log in using my phone number instead of email address?,Account Access & Login,AUTO_HANDLE,Explain mobile phone login availability in supported countries.,easy,Systematic benchmark sample representing Account Access & Login with easy complexity.
GOLDEN_077,SpotifyCares,Why am I asked to solve a CAPTCHA every single time I open the app?,Account Access & Login,AUTO_HANDLE,Suggest disabling VPN or checking network proxy settings.,medium,Systematic benchmark sample representing Account Access & Login with medium complexity.
GOLDEN_078,SpotifyCares,My profile picture won't show up on my friends' activity feed,Account Access & Login,AUTO_HANDLE,Advise checking 'Share my listening activity' toggle in settings.,easy,Systematic benchmark sample representing Account Access & Login with easy complexity.
GOLDEN_079,SpotifyCares,How do I make my personal playlist private so nobody can search it?,Playlist & Library Management,AUTO_HANDLE,Tap three dots on playlist > select 'Make Secret'.,easy,Systematic benchmark sample representing Playlist & Library Management with easy complexity.
GOLDEN_080,SpotifyCares,Can I sort my playlist by date added on the iOS mobile app?,Playlist & Library Management,AUTO_HANDLE,Swipe down inside playlist > tap Filters > sort by Recently Added.,easy,Systematic benchmark sample representing Playlist & Library Management with easy complexity.
GOLDEN_081,SpotifyCares,"I have 10,000 songs in my playlist and it freezes whenever I scroll",Playlist & Library Management,AUTO_HANDLE,Recommend splitting into smaller playlists for smoother performance.,medium,Systematic benchmark sample representing Playlist & Library Management with medium complexity.
GOLDEN_082,SpotifyCares,My friend shared a playlist link with me but it opens as a 404 error page,Playlist & Library Management,AUTO_HANDLE,Ensure the playlist is set to Public/Collaborative and not Secret.,easy,Systematic benchmark sample representing Playlist & Library Management with easy complexity.
GOLDEN_083,SpotifyCares,Can I export my Spotify playlist to an Excel or CSV file?,Playlist & Library Management,AUTO_HANDLE,Clarify that native export isn't supported; mention third-party tools via API.,easy,Systematic benchmark sample representing Playlist & Library Management with easy complexity.
GOLDEN_084,SpotifyCares,The playlist order on my phone doesn't match the order on my computer,Playlist & Library Management,AUTO_HANDLE,Check custom sorting toggle on both devices to ensure alignment.,medium,Systematic benchmark sample representing Playlist & Library Management with medium complexity.
GOLDEN_085,SpotifyCares,Folder feature for organizing playlists is missing from the mobile app,Playlist & Library Management,AUTO_HANDLE,Explain playlist folders must be created on desktop and viewable on mobile.,easy,Systematic benchmark sample representing Playlist & Library Management with easy complexity.
GOLDEN_086,SpotifyCares,Can I set custom playlist covers on the Android app?,Playlist & Library Management,AUTO_HANDLE,Explain mobile cover upload feature steps and supported formats.,easy,Systematic benchmark sample representing Playlist & Library Management with easy complexity.
GOLDEN_087,SpotifyCares,How do I remove duplicate songs from my large playlist without deleting one by one?,Playlist & Library Management,AUTO_HANDLE,Suggest sorting by Title on desktop app to spot and remove duplicates.,easy,Systematic benchmark sample representing Playlist & Library Management with easy complexity.
GOLDEN_088,SpotifyCares,My Daily Mix playlists haven't updated in over 3 weeks,Playlist & Library Management,AUTO_HANDLE,Recommend listening to new music to refresh algorithm recommendations.,medium,Systematic benchmark sample representing Playlist & Library Management with medium complexity.
GOLDEN_089,SpotifyCares,Can I download songs to an Apple Watch for running without my phone?,Offline Listening & Downloads,AUTO_HANDLE,Confirm offline playback on Apple Watch for Premium users with download instructions.,easy,Systematic benchmark sample representing Offline Listening & Downloads with easy complexity.
GOLDEN_090,SpotifyCares,Why did 500 of my downloaded songs turn grey and say unavailable?,Offline Listening & Downloads,AUTO_HANDLE,Explain catalog licensing changes or 30-day offline check requirement.,medium,Systematic benchmark sample representing Offline Listening & Downloads with medium complexity.
GOLDEN_091,SpotifyCares,Spotify is using 20 GB of internal storage even though I have an SD card inserted,Offline Listening & Downloads,AUTO_HANDLE,Guide customer to Settings > Storage and change download directory to SD Card.,easy,Systematic benchmark sample representing Offline Listening & Downloads with easy complexity.
GOLDEN_092,SpotifyCares,How do I turn on 'Offline Mode' manually so the app never uses cellular data?,Offline Listening & Downloads,AUTO_HANDLE,Settings > Playback > toggle on 'Offline Mode'.,easy,Systematic benchmark sample representing Offline Listening & Downloads with easy complexity.
GOLDEN_093,SpotifyCares,Downloads stop whenever my phone screen goes to sleep,Offline Listening & Downloads,AUTO_HANDLE,Disable battery saver and ensure background app refresh is permitted.,easy,Systematic benchmark sample representing Offline Listening & Downloads with easy complexity.
GOLDEN_094,SpotifyCares,Does listening to downloaded songs still count toward artist streaming royalties?,Offline Listening & Downloads,AUTO_HANDLE,Confirm offline streams are securely cached and reported when reconnecting online.,easy,Systematic benchmark sample representing Offline Listening & Downloads with easy complexity.
GOLDEN_095,SpotifyCares,Can I download individual songs or only full albums and playlists?,Offline Listening & Downloads,AUTO_HANDLE,Explain that individual songs must be added to a playlist or Liked Songs to download.,easy,Systematic benchmark sample representing Offline Listening & Downloads with easy complexity.
GOLDEN_096,SpotifyCares,Error: 'You have reached the offline device limit',Offline Listening & Downloads,AUTO_HANDLE,Direct user to manage offline devices at spotify.com/account and remove unused devices.,easy,Systematic benchmark sample representing Offline Listening & Downloads with easy complexity.
GOLDEN_097,SpotifyCares,"Downloading over WiFi is painfully slow, taking 2 hours for 1 album",Offline Listening & Downloads,AUTO_HANDLE,Advise rebooting Wi-Fi router and checking internet bandwidth.,medium,Systematic benchmark sample representing Offline Listening & Downloads with medium complexity.
GOLDEN_098,SpotifyCares,All my downloaded songs disappeared after I logged out and back in,Offline Listening & Downloads,AUTO_HANDLE,Confirm logging out automatically clears offline cache for DRM compliance.,medium,Systematic benchmark sample representing Offline Listening & Downloads with medium complexity.
GOLDEN_099,SpotifyCares,PlayStation 4 Spotify app won't connect to my phone via Spotify Connect,Device & Connectivity Integration,AUTO_HANDLE,Ensure both devices are on same network subnet and restart PS4 Spotify app.,medium,Systematic benchmark sample representing Device & Connectivity Integration with medium complexity.
GOLDEN_100,SpotifyCares,Google Home speaker says 'I can't find that Spotify playlist',Device & Connectivity Integration,AUTO_HANDLE,Advise renaming playlist to avoid phonetic confusion and relink Google Home account.,medium,Systematic benchmark sample representing Device & Connectivity Integration with medium complexity.
GOLDEN_101,SpotifyCares,Bluetooth audio stutters every time I walk into the kitchen with my phone,Device & Connectivity Integration,AUTO_HANDLE,Explain Bluetooth 2.4GHz RF interference and typical 30-foot physical range.,easy,Systematic benchmark sample representing Device & Connectivity Integration with easy complexity.
GOLDEN_102,SpotifyCares,Waze integration with Spotify keeps disconnecting in the middle of navigation,Device & Connectivity Integration,AUTO_HANDLE,Recommend updating both Spotify and Waze apps and toggling audio integration.,medium,Systematic benchmark sample representing Device & Connectivity Integration with medium complexity.
GOLDEN_103,SpotifyCares,Samsung Galaxy smartwatch app won't sync offline tracks,Device & Connectivity Integration,AUTO_HANDLE,Ensure watch is connected to Wi-Fi directly during sync process.,medium,Systematic benchmark sample representing Device & Connectivity Integration with medium complexity.
GOLDEN_104,SpotifyCares,Siri voice commands say 'Spotify has not provided that feature' on iOS 11,Device & Connectivity Integration,AUTO_HANDLE,Explain Siri integration setup and permissions in iOS Settings.,medium,Systematic benchmark sample representing Device & Connectivity Integration with medium complexity.
GOLDEN_105,SpotifyCares,"Spotify desktop app won't open on macOS High Sierra, just bounces in dock",Device & Connectivity Integration,AUTO_HANDLE,Provide instructions for a clean reinstall removing Application Support folders.,medium,Systematic benchmark sample representing Device & Connectivity Integration with medium complexity.
GOLDEN_106,SpotifyCares,Chromecast Audio dongle is not showing in available devices list,Device & Connectivity Integration,AUTO_HANDLE,Reboot Chromecast Audio and ensure Spotify app has Local Network permissions.,easy,Systematic benchmark sample representing Device & Connectivity Integration with easy complexity.
GOLDEN_107,SpotifyCares,Car audio displays track title as 'Unknown Artist' over USB connection,Device & Connectivity Integration,AUTO_HANDLE,Explain vehicle head unit USB firmware limitation vs Bluetooth connection.,medium,Systematic benchmark sample representing Device & Connectivity Integration with medium complexity.
GOLDEN_108,SpotifyCares,Can I control playback on my PC using my iPad as a remote?,Device & Connectivity Integration,AUTO_HANDLE,Explain Spotify Connect remote control functionality across active devices.,easy,Systematic benchmark sample representing Device & Connectivity Integration with easy complexity.
GOLDEN_109,SpotifyCares,Why is half of the new Jay-Z album greyed out in Canada?,Catalog & Content Inquiries,AUTO_HANDLE,Explain regional copyright distribution agreements vary by country.,easy,Systematic benchmark sample representing Catalog & Content Inquiries with easy complexity.
GOLDEN_110,SpotifyCares,Podcast episodes are showing up out of chronological order,Catalog & Content Inquiries,AUTO_HANDLE,Tap Settings gear icon on podcast page and select sort by 'Oldest to Newest'.,easy,Systematic benchmark sample representing Catalog & Content Inquiries with easy complexity.
GOLDEN_111,SpotifyCares,"There are two different artist profiles for the same indie singer, how to report?",Catalog & Content Inquiries,AUTO_HANDLE,Provide link to Spotify Content & Artist metadata correction form.,easy,Systematic benchmark sample representing Catalog & Content Inquiries with easy complexity.
GOLDEN_112,SpotifyCares,Audiobook chapters are playing on shuffle by accident,Catalog & Content Inquiries,AUTO_HANDLE,Ensure shuffle mode icon is toggled off for spoken word / audiobooks.,easy,Systematic benchmark sample representing Catalog & Content Inquiries with easy complexity.
GOLDEN_113,SpotifyCares,The album art displayed is completely wrong and shows another band's photo,Catalog & Content Inquiries,AUTO_HANDLE,Explain how to submit album metadata feedback through web support.,easy,Systematic benchmark sample representing Catalog & Content Inquiries with easy complexity.
GOLDEN_114,SpotifyCares,Why do some songs have canvas video loops while others only have static covers?,Catalog & Content Inquiries,AUTO_HANDLE,Explain Canvas is an optional visual feature uploaded directly by artists.,easy,Systematic benchmark sample representing Catalog & Content Inquiries with easy complexity.
GOLDEN_115,SpotifyCares,Can I request Spotify to add missing music from an obscure 90s band?,Catalog & Content Inquiries,AUTO_HANDLE,Explain artists/labels control distribution and direct to Community wishlists.,easy,Systematic benchmark sample representing Catalog & Content Inquiries with easy complexity.
GOLDEN_116,SpotifyCares,The song title has a typo in it that makes it impossible to search for,Catalog & Content Inquiries,AUTO_HANDLE,Provide link to report metadata typographical errors.,easy,Systematic benchmark sample representing Catalog & Content Inquiries with easy complexity.
GOLDEN_117,SpotifyCares,Why does Spotify censor swear words in songs when explicit filter is turned off?,Catalog & Content Inquiries,AUTO_HANDLE,Explain artist may have submitted a 'Clean / Radio Edit' album version.,easy,Systematic benchmark sample representing Catalog & Content Inquiries with easy complexity.
GOLDEN_118,SpotifyCares,Is high-resolution lossless audio (HiFi) available yet?,Catalog & Content Inquiries,AUTO_HANDLE,Provide current status of Spotify lossless audio announcements.,easy,Systematic benchmark sample representing Catalog & Content Inquiries with easy complexity.
GOLDEN_119,SpotifyCares,How do I change the home address on my Family Plan after moving apartments?,Family & Duo Administration,AUTO_HANDLE,Plan manager must update address on account page; members will re-confirm.,medium,Systematic benchmark sample representing Family & Duo Administration with medium complexity.
